Date,KPI Name,Value,Target,Unit,Department,Category,Remarks
23-06-2024,Fuel Efficiency,7.98,8.79,km/l,Logistics,Energy,Requires improvement
17-02-2024,On-Time Delivery Rate,81.76,87.15,%,Logistics,Operational,On track
23-01-2024,Product Defect Rate,2.12,1.94,%,Quality Control,Quality,Below target
30-05-2024,Product Defect Rate,4.88,4.48,%,Quality Control,Quality,New initiative
28-05-2024,On-Time Delivery Rate,83.06,92.05,%,Logistics,Operational,Above target
21-11-2024,Carbon Emissions,94.05,87.98,tons,Manufacturing,Emissions,Requires improvement
25-12-2024,On-Time Delivery Rate,80.76,88.7,%,Logistics,Operational,Below target
24-03-2024,Production Downtime,14.52,13.46,hours,Manufacturing,Operational,Above target
22-04-2024,Audit Failures,0.54,0.51,count,Quality Control,Quality,New initiative
24-07-2024,Fuel Efficiency,5.54,6.15,km/l,Logistics,Energy,Below target
18-04-2024,Fuel Efficiency,5.73,6.05,km/l,Logistics,Energy,Below target
15-05-2024,Audit Failures,1.77,1.65,count,Quality Control,Quality,Above target
07-08-2024,Employee Turnover Rate,1.74,1.62,%,Operations,Social Impact,New initiative
09-09-2024,Customer Complaints,2.19,2.08,count,Quality Control,Social Impact,New initiative
14-12-2024,Energy Consumption,43749.63,39709,kWh,Manufacturing,Energy,Above target
27-09-2024,Product Defect Rate,2.23,2.07,%,Quality Control,Quality,Requires improvement
16-05-2024,Fuel Efficiency,7.61,8.4,km/l,Logistics,Energy,New initiative
14-05-2024,Fuel Efficiency,5.87,6.47,km/l,Logistics,Energy,On track
07-11-2024,Workplace Safety Incidents,2.61,2.39,count,Operations,Social Impact,New initiative
01-01-2024,Employee Turnover Rate,1.12,1.06,%,Operations,Social Impact,New initiative
02-05-2024,Transport Emissions,1.37,1.3,tons,Logistics,Emissions,Below target
05-09-2024,Carbon Emissions,97.69,89.02,tons,Manufacturing,Emissions,On track
08-10-2024,Production Downtime,16.49,14.95,hours,Manufacturing,Operational,Requires improvement
03-10-2024,Training Hours,26.75,28.75,hours,Operations,Social Impact,Above target
12-08-2024,Training Hours,21.43,22.95,hours,Operations,Social Impact,Below target
28-10-2024,Product Defect Rate,1.62,1.46,%,Quality Control,Quality,On track
27-04-2024,Employee Turnover Rate,0.55,0.51,%,Operations,Social Impact,On track
